270-01-01 s_2s_7s_0s_pt
270-01-02 Letterss_cm
270-01-03 Orders
270-01-04 and
270-01-05 Instructionss_pt
270-01-06 October
270-01-07 s_1s_7s_5s_5s_pt
270-03-01 only
270-03-02 for
270-03-03 the
270-03-04 publick
270-03-05 uses_cm
270-03-06 unles_ss
270-03-07 by
270-03-08 particus_mi
270-04-01 lar
270-04-02 Orders
270-04-03 from
270-04-04 mes_pt
270-04-05 You
270-04-06 are
270-04-07 to
270-04-08 send
270-05-01 down
270-05-02 a
270-05-03 Barrel
270-05-04 of
270-05-05 Flints
270-05-06 with
270-05-07 the
270-05-08 Armss_cm
270-05-09 to
270-06-01 Winchesters_cm
270-06-02 and
270-06-03 about
270-06-04 two
270-06-05 thousand
270-06-06 weight
270-07-01 of
270-07-02 Flours_cm
270-07-03 for
270-07-04 the
270-07-05 two
270-07-06 Companies
270-07-07 of
270-07-08 Rangerss_sq
270-08-01 twelve
270-08-02 hundred
270-08-03 of
270-08-04 which
270-08-05 to
270-08-06 be
270-08-07 delivered
270-09-01 Captain
270-09-02 Ashby
270-09-03 and
270-09-04 Companys_cm
270-09-05 at
270-09-06 the
270-10-01 Plantation
270-10-02 of
270-10-03 Charles
270-10-04 Sellars
270-10-05 s_mi
270-10-06 the
270-10-07 rest
270-10-08 to
270-10-09 Captain
270-11-01 Cockess_qt
270-11-02 Companys_cm
270-11-03 at
270-11-04 Nicholas
270-11-05 Reasmerss_pt
270-12-01 October
270-12-02 s_2s_6ths_pt
270-12-03 s_GW
270-14-01 s_2s_8th
270-14-02 Winchesters_qo
270-14-03 October
270-14-04 s_2s_8ths_cm
270-14-05 s_1s_7s_5s_5s_pt
270-15-01 Parole
270-15-02 Hamptons_pt
270-16-01 The
270-16-02 Officers
270-16-03 who
270-16-04 came
270-16-05 down
270-17-01 from
270-17-02 Fort
270-17-03 Cumberland
270-17-04 with
270-17-05 Colonel
270-18-01 Washingtons_cm
270-18-02 are
270-18-03 immediately
270-18-04 to
270-18-05 go
270-18-06 Recruis_mi
270-19-01 tings_sq
270-19-02 and
270-19-03 they
270-19-04 are
270-19-05 allowed
270-19-06 until
270-19-07 the
270-19-08 s_1sts_pt
270-19-09 of
270-19-10 Des_mi
270-20-01 cembers_sq
270-20-02 at
270-20-03 which
270-20-04 time
270-20-05 if
270-20-06 they
270-20-07 do
270-20-08 not
270-21-01 punctually
270-21-02 appear
270-21-03 at
270-21-04 the
270-21-05 place
270-21-06 of
270-21-07 Rendezs_mi
270-22-01 vous
270-22-02 as_ssigned
270-22-03 thems_cm
270-22-04 they
270-22-05 will
270-22-06 be
270-22-07 tried
270-22-08 by
270-22-09 a
270-23-01 Court
270-23-02 Martials_cm
270-23-03 for
270-23-04 disobedience
270-23-05 of
270-23-06 Orderss_pt
270-24-01 They
270-24-02 are
270-24-03 to
270-24-04 wait
270-24-05 upon
270-24-06 the
270-24-07 Aid
270-24-08 de
270-24-09 camp
270-25-01 at
270-25-02 one
270-25-03 of
270-25-04 the
270-25-05 Clocks_cm
270-25-06 to
270-25-07 receive
270-25-08 their
270-25-09 Recruis_mi
270-26-01 ting
270-26-02 Instructionss_pt
270-26-03 Each
270-26-04 Officer
270-26-05 presents_cm
270-26-06 to
270-26-07 give
270-27-01 in
270-27-02 a
270-27-03 Return
270-27-04 immediately
270-27-05 of
270-27-06 the
270-27-07 number
270-28-01 of
270-28-02 men
270-28-03 he
270-28-04 has
270-28-05 enlisteds_pt
270-28-06 s_mi
270-28-07 One
270-28-08 Subalterns_cm
270-29-01 one
270-29-02 Sergeants_cm
270-29-03 one
270-29-04 Corporals_cm
270-29-05 one
270-29-06 Drummers_cm
270-30-01 and
270-30-02 twenty
270-30-03 five
